# Clase8 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:24]  Un
[00:38:04 -> 00:38:08]  Esto lo vamos a ver en realidad.
[00:38:08 -> 00:38:15]  Lo vamos a presentar con problemas similares, como después cuando veamos sistemas de información parciales.
[00:38:15 -> 00:38:17]  porque ese ubicado de...
[00:38:17 -> 00:38:19]  ¿se distribuyen a cartas?
[00:38:19 -> 00:38:21]  pues espero que es eso,
[00:38:21 -> 00:38:23]  se distribuyen a cartas y no sabes
[00:38:23 -> 00:38:25]  vosotros no sabéis que no es que...
[00:38:25 -> 00:38:29]  o tiro una carta pero no sabéis que la tiro
[00:38:35 -> 00:38:37]  por ahora no, pero cuando...
[00:38:37 -> 00:38:40]  o sea, por ahora el tipo de modelo que vamos a ver
[00:38:40 -> 00:38:42]  es que hay un nodo
[00:38:42 -> 00:38:49]  Esa Machance, que es algún mecanismo fotográfico que hace eso y que es explícito.
[00:38:50 -> 00:38:55]  Pero si no es que cuando hablamos de ese tema de la información parcial
[00:38:55 -> 00:39:00]  hay algoritmos que lo manejan.
[00:39:00 -> 00:39:02]  Es un problema.
[00:39:02 -> 00:39:04]  Y la otra pregunta?
[00:39:04 -> 00:39:10]  La otra idea es que tenemos que comenzar siempre de abajo,
[00:39:10 -> 00:39:12]  O sea, el estado marginal
[00:39:13 -> 00:39:15]  Vamos a empezar con la que?
[00:39:15 -> 00:39:16]  Como?
[00:39:16 -> 00:39:18]  Ah, comenzar con la que?
[00:39:18 -> 00:39:24]  Para saber cuál es la última acción que puede...
[00:39:24 -> 00:39:30]  O sea, porque el último que toma una acción es el que más poder de decisión tiene, no?
[00:39:30 -> 00:39:33]  Es el que en este caso define cuál es el...
[00:39:33 -> 00:39:35]  Claro, entonces hay que ir de abajo para arriba
[00:39:35 -> 00:39:39]  Bueno, sí, o sea, ese mecanismo general se llama backward interaction
[00:39:39 -> 00:39:49]  Vamos a ver el algoritmo que funciona, efectivamente, de atrás, de las hojas hacia arriba
[00:39:49 -> 00:40:00]  Pero para terminar en ese algoritmo, lo que tenemos que hacer es definir el valor como una función recursiva
[00:40:00 -> 00:40:05]  Claro, yo iba a decir recursos pero me parecía un poco normal
[00:40:05 -> 00:40:09]  Es overkill porque en el día de hoy sólo tenemos una opción cada una
[00:40:09 -> 00:40:13]  Pero supongo que después vamos a ver en un sistema más complejo
[00:40:13 -> 00:40:18]  donde hay múltiples acciones y ahí sí como que la recursos ideal
[00:40:18 -> 00:40:19]  vean de una forma más colgada
[00:40:19 -> 00:40:28]  En el caso que hay vamos a tener que definir así como en el caso de la jugada
[00:40:28 -> 00:40:39]  definíamos el valor como la esperanza de las recompensas para la policía
[00:40:39 -> 00:40:51]  y después a los MDP, una definición inductiva o recursiva del valor diciendo
[00:40:51 -> 00:41:00]  el valor en un estado que es la esperanza de la recompensa más el valor en el estado siguiente
[00:41:00 -> 00:41:10]  vamos a tener que definir también, o tal dar una definición de valor que recursiva y después los algoritmos para resolver
[00:41:12 -> 00:41:17]  Pero lo que vamos a hacer es que... ¿qué es? ¿ya? ¿me lo miente ya? Ah, me lo cuelgo.
[00:41:17 -> 00:41:20]  Vamos a ver si pasan un poquito estos indifutibles
[00:41:20 -> 00:41:24]  Entonces, vamos a ver si podemos atacar ese problema
[00:41:24 -> 00:41:26]  Vamos a mirar eso
[00:41:26 -> 00:41:29]  Entonces, justamente para hacerlo
[00:41:29 -> 00:41:34]  Vamos a ver si podemos jugar un poquito eso
[00:41:39 -> 00:41:41]  Por ejemplo, podemos decir que
[00:41:41 -> 00:41:51]  Si ustedes fueran agentes, por ejemplo, ¿qué harían?
[00:41:51 -> 00:42:00]  Y justifíenlo. Diganme, bueno, haría tal cosa por tal cosa y estoy asumiendo tal cosa.
[00:42:00 -> 00:42:04]  Yo les quería el B porque la chance de...
[00:42:04 -> 00:42:14]  En los ponentes nunca vas a jugar algo que te van a dar ganancia a vos, ¿no?
[00:42:14 -> 00:42:20]  Entonces, asumiendo que juegas A o C, vas a estar perdiendo 50 o 15.
[00:42:20 -> 00:42:25]  Entonces, asumiste que eres el...
[00:42:25 -> 00:42:30]  Bueno, perdón.
[00:42:30 -> 00:42:32]  ¿Avisaba?
[00:42:32 -> 00:42:34]  No, no, no pasa nada.
[00:42:34 -> 00:42:36]  ¿Avisaba?
[00:42:36 -> 00:42:38]  No, no, pero tú.
[00:42:38 -> 00:42:40]  Para que me andan a barrar.
[00:42:40 -> 00:42:41]  Sí, pero después...
[00:42:41 -> 00:42:43]  Vamos, que estamos en la sala.
[00:42:43 -> 00:42:44]  ¿No te vas a cortar?
[00:42:44 -> 00:42:45]  Esa es mía.
[00:42:45 -> 00:42:47]  No te vas a cortar, no vas a dejar.
[00:42:47 -> 00:42:49]  No, no, no, pero...
[00:42:49 -> 00:42:51]  La hacerás mis...
[00:42:51 -> 00:42:53]  La haceré mi esposa, por eso.
[00:42:53 -> 00:42:58]  ¿Tienes otra?
[00:42:58 -> 00:43:01]  Bien, bien.
[00:43:01 -> 00:43:12]  No, pero en serio hay mucho que ver, yo me la llevo por agarrar una casita de papel.
[00:43:12 -> 00:43:14]  No, espera. Es el cortín.
[00:43:14 -> 00:43:16]  Es lo que quiero.
[00:43:16 -> 00:43:21]  Entonces, ¿cuál es la selección?
[00:43:21 -> 00:43:24]  Sería la B.
[00:43:24 -> 00:43:26]  ¿Qué es B?
[00:43:26 -> 00:43:28]  Bueno, voy a empezar aquí.
[00:43:28 -> 00:43:30]  La gente...
[00:43:30 -> 00:43:32]  o sea, acá...
[00:43:34 -> 00:43:36]  Sería...
[00:43:36 -> 00:43:38]  lo voy a escribir así.
[00:43:38 -> 00:43:40]  Sería la acción B.
[00:43:40 -> 00:43:41]  Claro.
[00:43:41 -> 00:43:44]  Sería la acción 0,1,0.
[00:43:44 -> 00:43:47]  En términos de la que lo hicimos de trabajo el día.
[00:43:47 -> 00:43:51]  Pero ¿por qué? Porque el importe sí es que
[00:43:51 -> 00:43:59]  si el oponente sería en la línea actual.
[00:43:59 -> 00:44:11]  o sea, en este caso, sería siempre elegir, siempre elegir cuál, ¿eh?
[00:44:11 -> 00:44:13]  Sí, el R.
[00:44:13 -> 00:44:15]  No, el R.
[00:44:15 -> 00:44:17]  Elegir el menor valor de esto, ¿sí?
[00:44:17 -> 00:44:19]  Sí, lo leo a Ferreira.
[00:44:19 -> 00:44:21]  Entonces,
[00:44:21 -> 00:44:23]  está por eso.
[00:44:23 -> 00:44:27]  Pero, acá la podemos juntar así también,
[00:44:27 -> 00:44:35]  que es este, no sé, donde el primero es L y el segundo es R.
[00:44:35 -> 00:44:42]  Pero no importa, en realidad si yo le hubiera llamado a esto de R y esto de L,
[00:44:42 -> 00:44:46]  entonces ahí que voy a cambiarla y esto va a depender del Ita.
[00:44:46 -> 00:44:50]  Ah, los S. Pero no vamos a hacer L.
[00:44:50 -> 00:44:55]  Pero eso no cambiaría lo que dice Avis.
[00:44:55 -> 00:45:02]  y cuál sería el valor de esa estrategia?
[00:45:02 -> 00:45:06]  para agentes
[00:45:06 -> 00:45:08]  ¿3?
[00:45:08 -> 00:45:10]  No, no, no
[00:45:10 -> 00:45:12]  1
[00:45:12 -> 00:45:18]  y es a ido de ver lo de la inducción para arriba
[00:45:18 -> 00:45:20]  o sea de cómo remonta el valor
[00:45:20 -> 00:45:24]  lo que hace es que el valor de la hoja remonta.
[00:45:27 -> 00:45:45]  La estrategia conjunta que es jugar B y después que oponente, en cualquier caso,
[00:45:45 -> 00:45:54]  elija la que minimiza el valor para la gente,
[00:45:54 -> 00:46:01]  que a esta vamos a llamar la estrategia MIN para ponerle.
[00:46:01 -> 00:46:05]  Después, después realmente, es este.
[00:46:05 -> 00:46:10]  Es este. Y el valor es este.
[00:46:10 -> 00:46:20]  Pero lo importante sobre todo es la hipótesis que hay ahí,
[00:46:20 -> 00:46:24]  yo supongo que el oponente va a jugar así.
[00:46:24 -> 00:46:31]  Entonces eso también me da una especie de meta de estrategia,
[00:46:31 -> 00:46:35]  que es la meta estrategia minimax, o sea,
[00:46:35 -> 00:46:42]  suponiendo que oponente juega a mí, la gente va a jugar más.
[00:46:42 -> 00:46:48]  Eso lo vamos a ver, las estrategias y más.
[00:46:48 -> 00:46:53]  Que no me da, o sea, no es que me da B, me da B en este caso particular.
[00:46:53 -> 00:46:57]  Díselo como una meta estratégica, es decir,
[00:46:57 -> 00:47:08]  Si en cualquier situación lo que va a hacer agente es suponer que oponente juega min
[00:47:08 -> 00:47:21]  y entonces de todos los posibles valores, en este caso sería menos 50, 1 y menos 5
[00:47:21 -> 00:47:34]  que le quita el max, así que fue parecido a lo que hicimos en la columna, en el juego.
[00:47:34 -> 00:47:46]  Esto es una especie de meta estrategia porque ustedes me dan cualquier gol y la puedo instanciar.
[00:47:46 -> 00:47:59]  La manera gráfica de ver esta estrategia es que se suele usar a decir, a los nodos
[00:48:02 -> 00:48:11]  Max, donde la decisión es maximizar lo que remonta de las hojas, se le pone un algoritmo para arriba
[00:48:11 -> 00:48:27]  y a los nodos donde va a ser el juego oponente, asumiendo que va a jugar mi cuento.
[00:48:29 -> 00:48:36]  Y así quiere ver cómo llegamos formalmente a este análisis, a decir que lo que conviene es jugar B.
[00:48:36 -> 00:48:42]  Bueno, es porque supongan que juegan a...
[00:48:42 -> 00:48:58]  Entonces, dado que están suponiendo que oponente juega a min, lo que va a venir acá es un valor que es menos 50, ¿no?
[00:48:58 -> 00:49:07]  El valor que va a subir acá es 1 y el valor que va a subir acá es menos 5.
[00:49:07 -> 00:49:23]  Y acá lo que hace el D es llegar, bueno, el Dico, el máximo de los valores del nivel siguiente.
[00:49:23 -> 00:49:28]  Y esta me da 1.
[00:49:33 -> 00:49:42]  Pero esto es independiente de si esto realmente es una alternancia perfecta o no.
[00:49:42 -> 00:49:47]  En realidad, si un nodo es min o un nodo es max,
[00:49:47 -> 00:49:54]  Esencialmente depende si en el nodo juega agentes o en el nodo juega oponentes.
[00:49:54 -> 00:50:01]  En todos los nodos juega agente, van a ser nodos max y todos los nodos donde juega oponentes van a ser nodos minimo.
[00:50:01 -> 00:50:15]  Si estuvieramos en el 1 y jugamos una carta que dice jugar de nuevo y yo soy agente, bueno, la gente va a estar en otro nodo max que puede haber jugado.
[00:50:15 -> 00:50:20]  Así puede haber 2.000 seguidos.
[00:50:27 -> 00:50:31]  Bien, entonces lo que vamos a hacer es hacer ahora vamos a hacer una pausa
[00:50:31 -> 00:50:40]  y después vamos a ver porque este es solamente uno que vamos a adquirir la ecuación de valor de problemas
[00:50:40 -> 00:50:43]  pero vamos a dar cambio, hay otros casos así.
[00:50:43 -> 00:50:46]  Porque si no, esto daría casi que esencialmente...
[00:50:46 -> 00:50:49]  ...este, ¿qué es que hace?
[00:50:49 -> 00:50:51]  Terminij.
[00:50:52 -> 00:50:54]  Bueno, si hacemos una pausa...
[00:50:54 -> 00:50:55]  Esto es tocando.
[00:50:55 -> 00:50:59]  No, si hacemos solo esto, elegimos el I, Max, etc.
[00:50:59 -> 00:51:01]  Es totalmente terminijico.
[00:51:04 -> 00:51:06]  Pero vamos a ver esto de haber otros.
[00:51:06 -> 00:51:08]  Hacemos una pausa.
[00:51:13 -> 00:51:39]  Viene
[00:51:39 -> 00:51:41]  grabando para no olvidarme después.
[01:06:09 -> 01:06:13]  Bueno, no, no, no, ya se va a adaptar.
[01:06:13 -> 01:06:17]  No, no, pensé que...
[01:06:17 -> 01:06:21]  ¿Cómo es?
[01:06:21 -> 01:06:25]  Bien, bueno, retomamos.
[01:06:25 -> 01:06:32]  Acá me consultaron si ponían un poco de información sobre la tesis,
[01:06:32 -> 01:06:48]  que es algo que le interesa a todos o a muchos, el trabajo final, los tesis, salvo a los que ya la hicieron y la van a pasar.
[01:06:48 -> 01:06:57]  Lo cual de hecho sería interesante que los que no lo hicieron todavía, venían algunas de las defensas del tesis que van a hacer el trabajo final
[01:06:57 -> 01:07:00]  que van a hacer la última semana de mayo.
[01:07:00 -> 01:07:03]  La última semana de mayo y el primer ejemplo.
[01:07:05 -> 01:07:15]  Bien, entonces, tengo este amigo acá y le voy a dar un poquito de práctica para hablar de eso.
[01:07:15 -> 01:07:23]  Entonces, lo que terminamos de discutir es, bueno, a partir de este modelo que todavía no hemos liado,
[01:07:23 -> 01:07:30]  aunque no lo definí formalmente, esto lo entendemos que es un árbol, sí es un árbol,
[01:07:30 -> 01:07:43]  es muy importante, y en el cual las hojas son donde están las utilidades,
[01:07:43 -> 01:07:53]  y discutimos una primera, por ejemplo, solución al problema que sería buscar esa
[01:07:53 -> 01:08:07]  esa estrategia conjunta que consiste en asumiendo que oponente juega mini, a minimizar, a elegir el valor más chico acá,
[01:08:10 -> 01:08:20]  agente, se llamaría esa estrategia como la estrategia mini max porque se juega max pero asumiendo que oponente juega mini.
[01:08:20 -> 01:08:28]  pero bueno para darle para eso tenga digamos que sea correcto que tenga un
[01:08:28 -> 01:08:33]  sentido que es el valor de una
[01:08:33 -> 01:08:35]  no me escuchas
[01:08:35 -> 01:08:37]  yo me des de ti
[01:08:37 -> 01:08:39]  no me escuchas, estaba sin audio
[01:08:39 -> 01:08:41]  si hola hola, te escuchas?
[01:08:41 -> 01:08:43]  por ahí es capaz que
[01:08:43 -> 01:08:45]  vamos a usar el micrófono, yo acá lo veo como que
[01:08:45 -> 01:08:47]  se escucha
[01:08:47 -> 01:08:49]  si se escucha?
[01:08:49 -> 01:08:51]  hola hola
[01:08:51 -> 01:08:53]  nadie de los que esta online
[01:08:53 -> 01:08:55]  de ahí como que se escucha, a ver alguien
[01:08:55 -> 01:08:57]  si Sergio
[01:08:57 -> 01:08:59]  te escuchamos
[01:08:59 -> 01:09:01]  si si
[01:09:03 -> 01:09:08]  Entonces, lo que vamos a...
[01:09:09 -> 01:09:15]  ...al luego que vamos a sacar, así se ve en el centro, es...
[01:09:17 -> 01:09:28]  ...defino el valor de una estrategia siempre, ahora sí, de esta forma, en estado S...
[01:09:28 -> 01:09:40]  La verdad tiene dos... el dado que está en la utilidad no está en las acciones
[01:09:40 -> 01:09:51]  Podría estar, tenemos una forma bastante similar a la de los MDP, sino que está totalmente en las hojas
[01:09:51 -> 01:09:54]  ¿Ven? Lo hay.
[01:09:54 -> 01:09:56]  Utilidad, ¿Ves?
[01:09:56 -> 01:09:59]  Esto tiene dos partes.
[01:10:01 -> 01:10:11]  Hoy en día es la utilidad siempre para la gente.
[01:10:11 -> 01:10:19]  En realidad esto lo podríamos decir para cualquier jugador definido.
[01:10:19 -> 01:10:26]  Vamos a acá, el poder definido es el que arranca en la raíz.
[01:10:27 -> 01:10:31]  En realidad, todos los que...
[01:10:32 -> 01:10:40]  Creo que, bueno, no sé si todos, a la mayoría, son ingeniería en sistemas o computación o lo que sea.
[01:10:40 -> 01:10:52]  La raíz es la raíz en un momento, porque acá hay otro árbol cuya raíz es este.
[01:10:55 -> 01:11:03]  Ahora, para simplificar, vamos a decir que a ese jugador identificado, o sea, agente identificado,
[01:11:03 -> 01:11:09]  para el cual estamos evaluando, calculando el valor, va a ser agente.
[01:11:09 -> 01:11:14]  Por supuesto, sepan que ese agente va a ser...
[01:11:14 -> 01:11:24]  ...cualquiera de los agentes en el lugar donde empecemos a hacer la evolución.
[01:11:24 -> 01:11:33]  O sea, cuando yo puedo calcular el valor acá para agente y acá el valor también para agente o también para oponente.
[01:11:33 -> 01:11:36]  Acá va a estar agente y de mi lado.
[01:11:36 -> 01:11:37]  Y de mi lado.
[01:11:37 -> 01:11:39]  Y es que no nos importa quién...
[01:11:39 -> 01:11:46]  No, lo que va a haber puto para acá, para la utilidad, la utilidad es la utilidad para el que vamos a llamar agente.
[01:11:46 -> 01:11:48]  Para ese la utilidad, ¿tanto?
[01:11:48 -> 01:11:50]  Y esto, este, este...
[01:11:50 -> 01:11:51]  ¿Cuál está?
[01:11:51 -> 01:11:54]  O sea, estas utilidades están definidas.
[01:11:54 -> 01:11:57]  Hay siempre la utilidad para agente.
[01:12:00 -> 01:12:03]  Para el que se define como agente.
[01:12:06 -> 01:12:12]  Entonces, la utilidad en ese...
[01:12:15 -> 01:12:18]  Pero eso acuerda que la utilidad en ese es la utilidad para...
[01:12:18 -> 01:12:19]  ¿A qué?
[01:12:25 -> 01:12:27]  Y si...
[01:12:31 -> 01:12:35]  O sea, si ese es un estado final, una ofra...
[01:12:36 -> 01:12:42]  Las hojas, por ejemplo, vas a hacer 50, 50...
[01:12:42 -> 01:12:52]  Y si no es en una hoja, voy a tomar la esperanza...
[01:12:52 -> 01:13:10]  Pero digamos de ti, del jugador P sin P.
[01:13:10 -> 01:13:17]  Voy a poner como estaba el boteo sin pisar bomba.
[01:13:47 -> 01:13:54]  la la la la la la... acá esta oportunidad siempre para agentes
[01:13:54 -> 01:14:03]  esta esperanza acá es para... se calcula sobre el jugador que juega
[01:14:03 -> 01:14:05]  en ese...
[01:14:09 -> 01:14:13]  vamos a tomar una...
[01:14:13 -> 01:14:16]  Ehh...
[01:14:16 -> 01:14:19]  Ah...
[01:14:21 -> 01:14:25]  Uy, te vamos a poner ahí en polvo ese la gente donde...
[01:14:27 -> 01:14:34]  Ahora, agente a este y oponente porque si no vamos a mezclar con las A de las acciones y...
[01:14:35 -> 01:14:39]  el A de oponente, así, del área agente.
[01:14:39 -> 01:14:44]  Agente es el que se llama agente, porque si no... y A es una acción.
[01:14:44 -> 01:15:02]  No, porque acá tengo definido el valor de agente tomando la esperanza sobre las acciones de agente.
[01:15:02 -> 01:15:08]  Y acá va a ser de oponente, porque es oponente que va a tener valor acá.
[01:15:12 -> 01:15:15]  Y acá es el de...
[01:15:26 -> 01:15:31]  En realidad el valor es siempre para gente, tiene alguna cual es la acción de oponente.
[01:15:32 -> 01:15:36]  ¿Entendido?
[01:15:36 -> 01:15:42]  Cuando hicimos el minimax, fue, dijimos
[01:15:42 -> 01:15:48]  acá era menos 50, acá era 50, es decir, porque es la utilidad
[01:15:48 -> 01:15:54]  y acá era el min entre estos dos
[01:15:54 -> 01:16:01]  pero el min entre estos dos corresponde a la distribución de probabilidad L
[01:16:01 -> 01:16:08]  ¿Pero quién es jugador?
[01:16:08 -> 01:16:10]  ¿O oponente acá?
[01:16:10 -> 01:16:14]  Acá el jugador es oponente, acá es afrente.
[01:16:14 -> 01:16:18]  Y en la utilidad si quieres es como que el jugador es afrente.
[01:16:18 -> 01:16:21]  ¿Siempre o en ese caso?
[01:16:21 -> 01:16:25]  No, porque se defina el árbol así.
[01:16:25 -> 01:16:29]  ¿Se defina el árbol así?
[01:16:29 -> 01:16:36]  es para el que estemos evaluando el concepto, calculando el valor.
[01:16:36 -> 01:16:41]  Si estuviera calculando el valor para oponente,
[01:16:41 -> 01:16:47]  y bueno acá yo tendría que ser consistente y deciría que son las utilidades para oponente.
[01:16:47 -> 01:16:59]  Esto es la utilidad siempre para el jugador o la gente para el cual estamos evaluando
[01:16:59 -> 01:17:00]  la unidad.
[01:17:00 -> 01:17:06]  Y ya que si después de ponerle jugar a gente, después hubo una hoja, ¿y cuáles son las
[01:17:06 -> 01:17:08]  hojas de la gente?
[01:17:08 -> 01:17:12]  O sea, la soja... sí, sí.
[01:17:12 -> 01:17:14]  La utilidad...
[01:17:14 -> 01:17:20]  La utilidad esta acá, si vos querés que tu agente sea oponente,
[01:17:20 -> 01:17:23]  entonces tenés que cambiarle la soja.
[01:17:23 -> 01:17:25]  Tenés que cambiarle el valor a la soja.
[01:17:29 -> 01:17:31]  Eso es lo que es imponer.
[01:17:31 -> 01:17:37]  Siempre hay... o sea, piensen que siempre hay un agente que está definido,
[01:17:37 -> 01:17:39]  que es sobre el cual vamos a calcular los valores.
[01:17:39 -> 01:17:41]  Si quieres lo que el juego haremos, si mucho quieres calcular,
[01:17:41 -> 01:17:44]  cuál es el valor para a gente.
[01:17:44 -> 01:17:49]  Para que me quede claro, si quiero el valor para gente, para este jugador.
[01:17:51 -> 01:17:58]  En el suma a cero siempre es lo que gana, es lo reverso.
[01:17:58 -> 01:17:59]  Sí, sí, sí.
[01:17:59 -> 01:17:59]  Ok.
[01:17:59 -> 01:18:03]  Entonces siempre que estamos alternando de jugadores,
[01:18:03 -> 01:18:07]  con el negativo, el positivo y el negativo antitipo
[01:18:07 -> 01:18:10]  o sea, para no asimizar, tenemos que minizar desde el otro
[01:18:10 -> 01:18:19]  es que, dado que es las hojas, siempre el valor va a ser la utilidad de agente
[01:18:19 -> 01:18:27]  y agente si le juega max, entonces cada vez que vos tengas un nodo oponente
[01:18:27 -> 01:18:30]  y si juega min, entonces vas a hacer min
[01:18:30 -> 01:18:38]  Acaba de dar mi línea, pero eso es el caso que estemos usando la estrategia de un Imax.
[01:18:38 -> 01:18:49]  Pues yo primero necesito usar un valor para cualquier estrategia, no solamente la Imax.
[01:18:49 -> 01:19:07]  Entonces, elijo una A y acá es donde está donde elijo una acción A que viene de la distribución correspondiente al jugador que juega ese nómbre
[01:19:07 -> 01:19:16]  y del valor de hacerla accionar y acá es donde determinístico porque voy a considerar
[01:19:16 -> 01:19:25]  el sucesor de A de S por A
[01:19:25 -> 01:19:35]  El estado S' es el sucesor de hacer la acción A.
[01:19:35 -> 01:19:47]  para el acuerdo. Si estoy acá, el sucesor de agente en este juego, si agente es el agente de la acción,
[01:19:47 -> 01:19:55]  o sea, el sucesor, el todo sucesor de este nodo o de este estado, si agente es la acción, la acción es el que.
[01:19:55 -> 01:20:02]  A ver si terminé estado S, este va a ser mi estado sucesor.
[01:20:02 -> 01:20:12]  Aquí hay que yo lo llamo estado S0, estado inicial, este va a ser sucesor de S0 por A.
[01:20:12 -> 01:20:24]  Este va a ser el sucesor de S0 por B, y a este que está acá, que me llaman sucesor de S1
[01:20:24 -> 01:20:26]  de C1 por L.
[01:20:29 -> 01:20:30]  ¡Señal!
[01:20:30 -> 01:20:32]  A ver, eso ha sido una hoja.
[01:20:37 -> 01:20:41]  Ahora, eso es medio crítico, pero en realidad ¿cómo lo podemos hacer?
[01:20:41 -> 01:20:44]  Bueno, de tal que tenemos dos, lo vamos a expandir.
[01:20:44 -> 01:20:46]  O sea, o bien tengo la utilidad
[01:20:48 -> 01:20:49]  de S,
[01:20:50 -> 01:20:53]  si final es S,
[01:20:54 -> 01:20:56]  Ahí está la recursión, ¿no?
[01:20:56 -> 01:20:58]  Claro, acá está la recursión.
[01:20:58 -> 01:21:00]  Ahí está la recursión.
[01:21:02 -> 01:21:09]  Pero bueno, para ser más visual, dado que tengo dos jugadores, tengo dos posibilidades.
[01:21:09 -> 01:21:20]  O bien, el jugador es si el P es igual agente, o sea, si el jugador es agente y si el P es...
[01:21:20 -> 01:21:25]  O bueno, esto es más fácil de ver.
[01:21:25 -> 01:21:28]  Acá, entonces, ya la esperanza la puedo hacer directamente.
[01:21:28 -> 01:21:34]  Sucesores de ti, de la gente.
[01:21:37 -> 01:21:41]  De este...
[01:21:41 -> 01:21:43]  Lo voy a poner así.
[01:21:43 -> 01:21:45]  Yo no sé si se prima de...
[01:21:45 -> 01:21:47]  ¿Qué se prima?
[01:21:50 -> 01:22:00]  con el valor de pi en su pleno.
[01:22:00 -> 01:22:08]  Acabé de dar la suma, son sucesores, pi componente,
[01:22:08 -> 01:22:10]  ¿Qué dice?
[01:22:10 -> 01:22:14]  D, E, D
[01:22:14 -> 01:22:16]  Ah, o sea, se sabe esa la reúne
[01:22:16 -> 01:22:18]  Acá tenemos que aplicar renuevo
[01:22:20 -> 01:22:22]  Y esto siempre lo
[01:22:26 -> 01:22:28]  ¿Quién lo marcó? Vamos acá para ver qué
[01:22:28 -> 01:22:30]  Todo el tiempo estoy haciendo
[01:22:30 -> 01:22:32]  este valor para gentes
[01:22:38 -> 01:22:52]  Entonces, es el caso general. Si la minimax en realidad...
[01:22:52 -> 01:22:59]  Voy a hacer esto así, un poquito más en el espacio.
[01:23:04 -> 01:23:15]  ¿En qué cambia la minimax? Es que en lugar de la suma, voy a tomar el max sobre los ssql.
[01:23:15 -> 01:23:27]  y cuando es oponente voy a tomar el min, el lugar de tomar la...
[01:23:27 -> 01:23:29]  y acá es un volante.
[01:23:40 -> 01:23:46]  Obviamente los S están pertenecientes a sucesores
[01:23:48 -> 01:23:49]  S,
[01:23:51 -> 01:23:54]  y estos son los sucesores.
[01:23:54 -> 01:24:01]  Y si quieren son sucesores para la gente, siempre es para jugar con ellos.
[01:24:01 -> 01:24:08]  Eso es para que lo vean de mierda.
[01:24:08 -> 01:24:12]  Esto tiene interés porque, ¿qué pasa?
[01:24:12 -> 01:24:18]  Acá hay una hipótesis que están todos jugando estrategias,
[01:24:18 -> 01:24:22]  estrategias, esto casi, estrategias pro y...
[01:24:22 -> 01:24:26]  pero no puede pasar que, como hicimos,
[01:24:26 -> 01:24:32]  los dos jueguen estrategias deterministas,
[01:24:32 -> 01:24:38]  esta sería la... esto como ya sería la ecuación
[01:24:38 -> 01:24:42]  de la repudencia llamamos minimax,
[01:24:42 -> 01:24:48]  donde agente juega max y oponente juega minim.
[01:24:48 -> 01:24:55]  Pero no es la única que nos interesa por símileras.
[01:24:55 -> 01:25:00]  Podemos... o sea, podemos... la relación general es lo dos para el tocatio.
[01:25:00 -> 01:25:10]  Por ejemplo, si queremos encontrar una... si existe la estrategia, es tocatio.
[01:25:10 -> 01:25:13]  Y si no, otra decisión es esta.
[01:25:16 -> 01:25:18]  Lo vemos así, así.
[01:25:18 -> 01:25:26]  La esperanza es el número sobre pi con un ruido.
[01:25:28 -> 01:25:30]  ¿Esto qué sería?
[01:25:30 -> 01:25:33]  Bueno, esto sería...
[01:25:33 -> 01:25:38]  Ojolente juega a maximizar la utilidad,
[01:25:38 -> 01:25:41]  Pero bajo la hipótesis que...
[01:25:41 -> 01:25:44]  Perdón, la gente juega con actividad y debilidad.
[01:25:44 -> 01:25:49]  Bajo la hipótesis que oponente tiene una distribución de todo el tiempo.
[01:25:49 -> 01:25:52]  O sea, juega a alguna distribución de todo el tiempo.
[01:25:55 -> 01:26:01]  Por ejemplo, supongamos que oponente...
[01:26:01 -> 01:26:11]  Cuando hicimos el análisis, el que subidió ahí, era asumiendo que, o ponende, también,
[01:26:11 -> 01:26:19]  racional, maximizar su utilidad, en este caso era minimizando la de ajedrez.
[01:26:19 -> 01:26:26]  Y si fuera un jugador jugando...
[01:26:26 -> 01:26:38]  Ahora tengo el siguiente dilema, yo calculé mi estrategia asumiendo que el otro jugador iba a jugar min.
[01:26:38 -> 01:26:47]  Y eso me había dado que lo mejor que podía hacer era jugar b y que tenía un valor de 1.
[01:26:47 -> 01:26:55]  Ahora supongamos que yo programé eso y que venga cualquier jugador.
[01:26:55 -> 01:27:06]  Entonces yo digo, pero viene ahora un jugador random que juega alineatorio uniforme.
[01:27:06 -> 01:27:10]  Y mi oponente ahora jugando a donde?
[01:27:10 -> 01:27:13]  Uniforme, jugando a un uniforme.
[01:27:13 -> 01:27:17]  Entonces, qué quiere decir jugar a un uniforme?
[01:27:17 -> 01:27:22]  Pero el tuyo sigue siendo...
[01:27:22 -> 01:27:24]  El tuyo sigue siendo...
[01:27:24 -> 01:27:26]  El tuyo sigue siendo...
[01:27:26 -> 01:27:28]  Sí, sí, yo jugo minimax.
[01:27:28 -> 01:27:44]  que yo hago mi análisis y digo voy a jugar B, también porque en el análisis mini max supongo que oponente va a jugar E
[01:27:44 -> 01:27:52]  yo podría pensar que la mitad de las veces uniforme, y la mitad de las veces juega el y la mitad de las veces no va a jugar E
[01:27:52 -> 01:27:57]  Entonces, yo les doy una instrucción de probabilidad acá.
[01:27:57 -> 01:28:01]  Esa va a ser pi oponente.
[01:28:04 -> 01:28:08]  Pi oponente. Pi oponente es medio un L.
[01:28:08 -> 01:28:13]  Entonces, si yo ahora aplico esta fórmula,
[01:28:15 -> 01:28:18]  ¿cuánto me da el valor?
