# Clase3 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:18]  Bien, tomo la renovación.
[00:37:34 -> 00:37:41]  Se plantea, bueno, sí, ella juega, bueno, x uno menos x no es el mismo x,
[00:37:41 -> 00:37:47]  hace la misma ecuación, pero ahora con los azules,
[00:37:47 -> 00:37:57]  y obtiene que la solución a ese problema es la introducción de probabilidades de los
[00:37:57 -> 00:37:58]  tercios de infección.
[00:37:58 -> 00:38:12]  Pero ya sabemos que tanto como C y P son best responses a esa introducción y C y P
[00:38:12 -> 00:38:16]  son tan...
[00:38:16 -> 00:38:20]  para este caso ya sabemos que
[00:38:20 -> 00:38:25]  sine y partido son una vez responses para esta distribución de probabilidades de Bruno
[00:38:25 -> 00:38:31]  esto no dice se y que de Bruno son una vez responses
[00:38:31 -> 00:38:35]  para la distribución de probabilidades de Alicia
[00:38:35 -> 00:38:39]  entonces son
[00:38:39 -> 00:38:43]  de ellos dos, de los dos de Euliones, son un equilibrino.
[00:38:43 -> 00:38:48]  Están en el espacio de las responses de la obra.
[00:38:48 -> 00:38:53]  Cada una. Si están los extremos de la obra están todos.
[00:38:58 -> 00:39:04]  Entonces tenemos otro equilibrino ahora.
[00:39:04 -> 00:39:10]  ¿Qué es este? 1 tercio, 2 tercios, 2 términos.
[00:39:10 -> 00:39:22]  Y si aplicamos a esa distribución de probabilidad conjunta, conjunta,
[00:39:22 -> 00:39:30]  que ya sabemos que está definida de manera independiente por dos distribuciones de cambio de los jugadores,
[00:39:30 -> 00:39:39]  ¿Te acordás de cómo teníamos los valores?
[00:39:39 -> 00:39:45]  1 tercio por 2 tercios por... hay que multiplicar
[00:39:45 -> 00:39:48]  que sería, volvemos a esto,
[00:39:48 -> 00:39:51]  sería 1 tercio por 2 tercios por 2
[00:39:51 -> 00:39:52]  más
[00:39:52 -> 00:39:57]  1 tercio por 0
[00:39:57 -> 00:40:01]  más 2 tercios por 1 tercio por 0
[00:40:01 -> 00:40:04]  2 tercios por 0 más
[00:40:04 -> 00:40:07]  2 tercios por 1
[00:40:07 -> 00:40:10]  por 1 tercio.
[00:40:10 -> 00:40:13]  Lo acepto de acá.
[00:40:13 -> 00:40:34]  O sea, los dos ceros se cancelan y me tienen dos tercios y el que realeamos es el que generaba cuanto era el valor de intersección para Alicia y también para Rungo y Alba.
[00:40:34 -> 00:40:37]  O sea, el tiempo que es exactamente el que valoró para dos.
[00:40:37 -> 00:40:39]  En este caso, bien.
[00:40:43 -> 00:40:59]  Entonces, exista entonces otro equilibrio de Nash que era...
[00:40:59 -> 00:41:05]  Alicia es...
[00:41:05 -> 00:41:09]  Creo que lo escribí a través.
[00:41:09 -> 00:41:12]  Sí, porque Alicia... Ah, lo he explicado bien. Igual la parte de ahora mismo.
[00:41:12 -> 00:41:20]  Está aquí también. Porque Alicia es 2 tercios y 1 tercio.
[00:41:20 -> 00:41:23]  2 tercios y 1 tercio.
[00:41:23 -> 00:41:27]  Y 1 tercio.
[00:41:27 -> 00:41:29]  ¿Cómo me silbétrico?
[00:41:29 -> 00:41:33]  Pero lo voy a poner aquí.
[00:41:33 -> 00:41:37]  Entonces tenemos 3 equilibrios largos.
[00:41:39 -> 00:41:45]  Y este tiene utilidad.
[00:41:47 -> 00:41:49]  Fijimos que son tres fios.
[00:41:57 -> 00:42:03]  dos tercias y dos.
[00:42:03 -> 00:42:05]  Vamos bien.
[00:42:12 -> 00:42:17]  Este tiene dos para Alicia, uno para Bruno,
[00:42:17 -> 00:42:21]  este tiene uno para Alicia, dos para Bruno,
[00:42:21 -> 00:42:25]  y este tiene dos tercias para él.
[00:42:27 -> 00:42:46]  Los tres son equilibrios y los tres tienen valores disminuidos.
[00:42:46 -> 00:42:49]  Y este está como...
[00:42:49 -> 00:43:00]  ¿Qué fue lo último que dijiste Sergio que no escuché bien?
[00:43:00 -> 00:43:02]  ¿Este último qué?
[00:43:02 -> 00:43:10]  Este último está como en el medio, o sea, la utilidad esperada de este individuo de
[00:43:10 -> 00:43:19]  dos tercios es más chica que dos tercios.
[00:43:19 -> 00:43:37]  es otro equilibrio estocástico, pero que tiene menor utilidad esperada de atraccionar.
[00:43:37 -> 00:43:45]  Si ustedes encontraran esta situación, ¿qué harían?
[00:43:45 -> 00:43:47]  También se den mi voz.
[00:43:47 -> 00:43:49]  ¿Qué harían?
[00:43:49 -> 00:43:51]  Para...
[00:43:53 -> 00:43:55]  ¿De qué manera buscarían resolver?
[00:43:55 -> 00:44:03]  Tirar una moneda y ver quién puede elegir primero y a la otra.
[00:44:03 -> 00:44:05]  ¿Cómo?
[00:44:05 -> 00:44:07]  responder.
[00:44:07 -> 00:44:11]  Mirar una boleta, ¿hay alguna otra manera?
[00:44:11 -> 00:44:17]  Yo sé cuál es la estrategia de Alicia, yo sé eso.
[00:44:17 -> 00:44:23]  No, no, no, si vos te encontraste en esta situación,
[00:44:23 -> 00:44:27]  ¿cómo es que haces? ¿cómo resuelves?
[00:44:27 -> 00:44:29]  ¿Cuál es su elemento?
[00:44:29 -> 00:44:31]  Un en cinco y un en seis.
[00:44:31 -> 00:44:33]  Yo diría una vez y una vez.
[00:44:33 -> 00:44:37]  Pero tenés dos en cinco y tres otra matriz de perfecto.
[00:44:37 -> 00:44:39]  ¿Cuál es el otro?
[00:44:39 -> 00:44:41]  Tres, tres, tres, tres.
[00:44:41 -> 00:44:43]  Otro, otro, otro.
[00:44:43 -> 00:44:45]  Otro, no es eso.
[00:44:45 -> 00:44:47]  La necesidad es que vivamos las perfectas.
[00:44:47 -> 00:44:49]  Pero no, no, no.
[00:44:51 -> 00:44:53]  Pero no, no, no, no.
[00:44:53 -> 00:44:55]  Algo que decía por mí.
[00:44:55 -> 00:45:01]  algo que decías vos, la moneda deciden por vos, es eso lo que...
[00:45:01 -> 00:45:05]  que hacen si...
[00:45:05 -> 00:45:09]  si tu tío tiene una moneda, vos decías...
[00:45:09 -> 00:45:13]  otra cosa... perdón, pensé que...
[00:45:13 -> 00:45:17]  yo creo que es otro, pero es como más también...
[00:45:17 -> 00:45:23]  esa no, esa cuenta muy bien, pero...
[00:45:23 -> 00:45:28]  Si está bien, lo tendría que haber aclarado, o sea, esto, como me dio bien la pregunta,
[00:45:28 -> 00:45:32]  no es un juego repetido.
[00:45:32 -> 00:45:38]  Sí, sí, si vos permitís la repetición, podrías hacer estrategias que no son,
[00:45:38 -> 00:45:46]  cosas que son estacionales, o sea, dependiendo del té, cambiarte de estrategia.
[00:45:46 -> 00:45:57]  Pero no, pero es por bien él. Aunque la distinción, o sea, aunque la estrategia pueda ser estocástica,
[00:45:57 -> 00:46:02]  no es lo que estamos hablando de tráfico repetido, sino va bien para poder calentar mi esperanza,
[00:46:02 -> 00:46:09]  ¿qué esperanza tengo de satisfacer mi vida? ¿Cuál sería mi vida?
[00:46:09 -> 00:46:12]  Pero...
[00:46:14 -> 00:46:17]  O sea, una sola jugada.
[00:46:19 -> 00:46:21]  ¿Alguna otra opción?
[00:46:21 -> 00:46:24]  Yo trataría de convencer, digamos. Yo invito el pop.
[00:46:30 -> 00:46:32]  Pero bueno, claro.
[00:46:32 -> 00:46:36]  Ahí se nota un poco el caso de Steve y Sara.
[00:46:36 -> 00:46:49]  O sea, una especie de algún arreglo que después no necesariamente la otra parte va a tomar.
[00:46:53 -> 00:46:57]  Porque no necesariamente eso es un equilibrio.
[00:46:57 -> 00:47:00]  Por ahí me dice sí, sí y después el reposo.
[00:47:00 -> 00:47:03]  En el mundo real hay demasiadas variables, pero...
[00:47:03 -> 00:47:15]  ¿Tienes algo de ese? Ah, sí, sí. Hacemos eso y estoy seguro que no voy a cambiar mi decisión.
[00:47:15 -> 00:47:19]  ¿Pero es que siempre usen?
[00:47:19 -> 00:47:28]  No, pero ahí para... Eso es de X1. Tenés que cambiar la subvención.
[00:47:28 -> 00:47:34]  Así que es una función que sea racional en ese sentido.
[00:47:37 -> 00:47:39]  Pero bueno, y ok, entonces,
[00:47:42 -> 00:47:44]  estas dos son chaves.
[00:47:44 -> 00:47:48]  Consultar a alguien o ir a una manera,
[00:47:48 -> 00:47:57]  en ese sentido son similares, en el sentido de que se deposita en otra entidad la decisión.
[00:47:58 -> 00:48:09]  Pero eso no alcanza, tenemos que ahora poder decir que si hacemos eso vamos a poder conseguir un equilibrio.
[00:48:09 -> 00:48:16]  ¿Cuál sería entonces la idea?
[00:48:16 -> 00:48:23]  Supongo que tiramos la moneda, y ¿qué hacemos con la moneda?
[00:48:23 -> 00:48:26]  ¿Cuál es la decisión que tenemos que tomar?
[00:48:26 -> 00:48:28]  ¿Cuánto tendríamos que tomar a la lista de número?
[00:48:28 -> 00:48:29]  ¿Diamos de una manera?
[00:48:29 -> 00:48:30]  O sea...
[00:48:30 -> 00:48:32]  ¿Qué es lo que tiene que decir?
[00:48:32 -> 00:48:34]  ¿Se puede...?
[00:48:34 -> 00:48:35]  Perdón.
[00:48:35 -> 00:48:39]  ¿Se podría actualizar la preferencia?
[00:48:39 -> 00:48:40]  No, no, no.
[00:48:40 -> 00:48:43]  No padece ya, actualiza la preferencia, cambia el problema y...
[00:48:43 -> 00:48:49]  El número va a Chile y Artigas vale partida.
[00:48:49 -> 00:48:50]  ¿Qué quiere decir?
[00:48:50 -> 00:48:56]  Los dos tienen que decir, si sale cara, eligen cine, por ejemplo,
[00:48:56 -> 00:49:03]  y si sale cruz, o sea, eligen partilio.
[00:49:07 -> 00:49:10]  O sea, eso es un acuerdo que podíamos hacer afuera.
[00:49:11 -> 00:49:13]  Como que decidimos eso.
[00:49:13 -> 00:49:19]  y a ustedes les convence esa solución?
[00:49:19 -> 00:49:25]  O sea, para que a ustedes les convenga esa solución.
[00:49:25 -> 00:49:29]  Convénsales, convengan. O sea, si les convencen, pues les conviene.
[00:49:29 -> 00:49:40]  Les conviene porque tienen mayor utilidad o también esperada, digamos,
[00:49:40 -> 00:49:49]  de esta o que no les convendría cambiarse porque si lo hacen pueden tener una menor utilidad
[00:49:49 -> 00:49:55]  entonces, ¿cuál es la utilidad esperada de eso?
[00:49:55 -> 00:50:04]  ¿Vas a hacer más veces saltines y lo que querías es salteo?
[00:50:04 -> 00:50:07]  No, pero me ha dicho una sola vez.
[00:50:07 -> 00:50:13]  ¿Cuál es la unidad esperada?
[00:50:13 -> 00:50:15]  No es un medio.
[00:50:15 -> 00:50:17]  No, es... No.
[00:50:17 -> 00:50:19]  No es un no.
[00:50:19 -> 00:50:21]  No, porque va a ser...
[00:50:21 -> 00:50:23]  ¿Dos por un medio?
[00:50:23 -> 00:50:30]  2 por 1 medio es 3.5
[00:50:30 -> 00:50:34]  2 por 1 medio es 1.5
[00:50:34 -> 00:50:37]  para 2 es lo mismo
[00:50:37 -> 00:50:39]  2 por 1 medio más 1 por 1 medio
[00:50:39 -> 00:50:42]  1 por 1 medio es 1.5
[00:50:42 -> 00:50:47]  es un medio
[00:50:47 -> 00:50:49]  Primero, mayor que ésta.
[00:50:53 -> 00:50:55]  Y segundo, ¿es un equilibrio?
[00:50:59 -> 00:51:01]  ¿Qué sabemos de esto?
[00:51:01 -> 00:51:03]  Hay una que te da dos.
[00:51:05 -> 00:51:07]  Esta te da dos, pero un medio.
[00:51:07 -> 00:51:09]  Un medio.
[00:51:09 -> 00:51:11]  Uno más un medio.
[00:51:11 -> 00:51:13]  No, perdón.
[00:51:13 -> 00:51:15]  Yo pensé y escuché.
[00:51:15 -> 00:51:33]  1 más 1 medio, o sea 3 medios, 3 medios, 2 por 1 medio más 1 medio, 1 más 1 medio, 3 medios.
[00:51:33 -> 00:51:39]  Y es un equilibrio pero no de este sistema, no sé.
[00:51:39 -> 00:51:43]  ¿Por qué es un equilibrio? ¿Alguien le conviene cambiarse?
[00:51:43 -> 00:51:53]  El poquito también viene a cambiarse. Porque yo ya sé que tanto C como P son de la respuesta C y P.
[00:51:53 -> 00:52:06]  Para Alicia, C es la de la respuesta C. Y para Bruno, C también es la de la respuesta C.
[00:52:06 -> 00:52:19]  O sea, esos son los dos equilibrios como estrategias. Al final lo que va a salir de eso, o sea,
[00:52:19 -> 00:52:23]  al final lo que va a salir es, o sale CC o sale CP.
[00:52:23 -> 00:52:30]  Perdón, sale PP. O sea, sale CINE o sale partido. Sale alguno de estos dos.
[00:52:30 -> 00:52:35]  No va a salir ninguna de las otras elecciones.
[00:52:35 -> 00:52:41]  Nadie individualmente va a elegir P si el otro no elige P.
[00:52:41 -> 00:52:44]  Y nadie va a elegir C si el otro no elige C.
[00:52:44 -> 00:52:48]  Porque van a hacer lo que la moneda dice.
[00:52:48 -> 00:52:51]  ¿Y es como no cambiar de solución?
[00:52:51 -> 00:52:53]  No, cambiamos la solución.
[00:52:53 -> 00:52:56]  Lo que hicimos fue, mantuvimos el problema,
[00:52:56 -> 00:53:02]  en la estancia de mantener ese problema, pero decir que no, pero el equilibrio de Nash no es la única solución al problema.
[00:53:04 -> 00:53:11]  Porque encontramos una situación de equilibrio que
[00:53:13 -> 00:53:15]  que exactamente puede ser una solución.
[00:53:17 -> 00:53:20]  Tuvimos siempre inventando nuevas soluciones.
[00:53:20 -> 00:53:29]  Y es justamente eso, se trató, primero decimos los equilibrios nominales, después los equilibrios de Nash
[00:53:29 -> 00:53:35]  y ahora estamos diciendo, hay un conjunto, podemos hablar de un conjunto más grande de soluciones
[00:53:35 -> 00:53:40]  pero tenemos que remunerar a un factor extra
[00:53:40 -> 00:53:48]  Eso que acabamos de hacer, esa discusión que acabamos de hacer es encontrar un equilibrio correlacionado
[00:53:48 -> 00:53:57]  La corrección, o sea, las decisiones de los agentes no son independientes.
[00:53:57 -> 00:54:09]  Ni Alicia ni ninguno en este caso van a elegir cine o partido de manera independiente.
[00:54:09 -> 00:54:18]  Los dos van a elegir Cines y la moneda de Cicada y los dos van a elegir partidos y la moneda de C.
[00:54:18 -> 00:54:21]  Por un bueno partido.
[00:54:21 -> 00:54:25]  ¿Está bien?
[00:54:25 -> 00:54:31]  Entonces...
[00:54:31 -> 00:54:37]  Un poco más de la diapositiva, desde que estuvo atente, ya.
[00:54:37 -> 00:54:42]  Y ahí vamos a zona 7, ya. Pero la pasqué.
[00:54:42 -> 00:54:49]  Así ya terminamos y después vamos a hacer una ronda y a la segunda.
[00:54:49 -> 00:54:55]  No, después la pasqué. Tienen que tocar.
[00:54:55 -> 00:54:59]  Bien.
[00:54:59 -> 00:55:16]  En realidad, lo que acabamos de hacer es decir que lo que nos dio este mecanismo, es decir que, volveremos de cómo lo hicimos.
[00:55:16 -> 00:55:34]  Lo que dijimos es que hay una estrategia conjunta, porque nosotros hemos dicho que los agentes juegan de manera simultánea
[00:55:34 -> 00:55:38]  y lo que yo quería era que lo que estábamos buscando era una estrategia conjunta.
[00:55:38 -> 00:55:47]  Pero hasta ahora esa estrategia conjunta estaba compuesta del producto de estrategias individuales.
[00:55:49 -> 00:56:01]  También donde cada agente elegía individualmente, dado que el otro era individual.
[00:56:01 -> 00:56:08]  La estrategia conjunta era el resultado de hacer los productos de las estrategias que vivimos.
[00:56:08 -> 00:56:14]  Y ahora no, ahora tenemos una estrategia que es conjunta, directa, sobre el espacio de distribución conjunta.
[00:56:14 -> 00:56:21]  ¿Qué me dice? Para la acción conjunta CC y para la acción conjunta FES,
[00:56:21 -> 00:56:23]  Cine-Cine partido partido, tienen un medio-medio.
[00:56:23 -> 00:56:27]  Toda la masa está distribuida entre Cine-Cine y partido partido.
[00:56:27 -> 00:56:36]  y el resto c. Pero esa es la conjunta, ahí no está, no lo puedes pensar como un individuo.
[00:56:36 -> 00:56:46]  El mecanismo de la moneda es el mecanismo de la moneda como para obtener esta distribución de probabilidad conjuntamente.
[00:56:46 -> 00:56:58]  Y eso es un equilibrio correlacional. En la práctica, como está definido, es eso.
[00:56:58 -> 00:57:06]  En la práctica, como se hace, es sencillamente se elige a crear un mecanismo estocástico, en este caso la moneda, que se quiere decir.
[00:57:06 -> 00:57:14]  y después en principio es como un mediador
[00:57:14 -> 00:57:17]  como pueden explicar por ejemplo en varias situaciones actuales
[00:57:17 -> 00:57:26]  un mediador entre dos, el mediador le dice una cosa a uno y otra cosa al otro jugador
[00:57:26 -> 00:57:35]  o sea, digo otra cosa no es simplemente una cosa de tinta, le dice algo de acuerdo a una distribución de probabilidad
[00:57:35 -> 00:57:47]  Y, sin saber lo que le dicen, en este caso el mediador le va a decir o C a los dos o C a los dos,
[00:57:47 -> 00:57:55]  eso sí, el mediador es ese, comprobablea un buen índice, van a tomar eso.
[00:57:55 -> 00:58:01]  Y bueno, la decisión de equilibrio, esto lo decimos solo para cerrar,
[00:58:01 -> 00:58:06]  lo que podemos ver es que básicamente pudo escribir una desigualdad,
[00:58:06 -> 00:58:16]  que dice cuándo una distribución de probabilidad sobre espacios conjuntas es un equilibrio por relación.
[00:58:16 -> 00:58:28]  Y lo único, si hay algo que cambia, acá es como la ver response.
[00:58:28 -> 00:58:34]  Si hay algo, es la ver response a menos que.
[00:58:34 -> 00:58:37]  Pero como que tiene que ser inmune a cualquier cambio.
[00:58:37 -> 00:58:43]  Para que el ser en el híbrido, que si no lo es, siempre está la existencia de, no importa,
[00:58:43 -> 00:58:48]  es una distribución de programas únicas, pero si yo la cambio, me cambio algo,
[00:58:51 -> 00:58:55]  entonces ya nosotros también pueden cambiar algo.
[00:58:55 -> 00:59:00]  Nadie tiene que poder cambiar ese ya.
[00:59:02 -> 00:59:12]  Pero es correlado porque no la expreso como un producto de distribuciones independientes.
[00:59:12 -> 00:59:17]  para cada agente, sino como un vector.
[00:59:17 -> 00:59:23]  Creo que hemos hablado, casi todos son de sistemas, ¿no?
[00:59:23 -> 00:59:31]  Hay una sincronización. Todos los agentes, de manera sincronica, tienen una determinada acción conjunta.
[00:59:31 -> 00:59:41]  Entonces, tiene que haber comunicación, tiene que haber algo para que lo logre.
[00:59:41 -> 00:59:47]  Es como una especie de controlador centralizado que utiliza esta manera.
[00:59:47 -> 00:59:58]  Bien. Bueno, esto lo vamos a volver cuando lleguemos al próximo algoritmo, que no es,
[00:59:58 -> 01:00:01]  que vamos a ver ahora, que es solo para este vídeo de verdad,
[01:00:01 -> 01:00:11]  ahora hacemos una pausa y pues 10 y 20,
[01:00:11 -> 01:00:15]  a ver si puedo decir el algoritmo,
[01:00:15 -> 01:00:19]  para que se alargue un poco con el tema de las comidas.
[01:00:19 -> 01:00:22]  Entonces, lo que quiero compartir...
[01:00:22 -> 01:00:41]  Bueno, retomo todos y ahora les presento el algoritmo de cartelizaje que se llama
[01:00:41 -> 01:00:56]  Es un poco... Seguramente habrá escuchado cosas del tiro, que los agentes aprenden sí
[01:00:56 -> 01:01:05]  mismo, jugando contra sí mismo, ese tipo de cosas. Se repite bastante en el curso de
[01:01:05 -> 01:01:11]  de Magin-Glam y eso. Bueno, este es un ejemplo de algoritmo.
[01:01:11 -> 01:01:19]  Bueno, idealmente es un poco la idea de que la gente aprende,
[01:01:19 -> 01:01:27]  no solamente cuando hace mismo, pero fingiendo, pues, el juicio.
[01:01:27 -> 01:01:30]  Y acá aparece un poco la idea de cosas que debemos gustar.
[01:01:30 -> 01:01:34]  En realidad, la realidad del juego es que se va a jugar lo mismo las veces.
[01:01:36 -> 01:01:41]  Pero para aprender a jugar y para aprender cuál es la mejor estrategia para jugarlo,
[01:01:42 -> 01:01:43]  vamos a buscar muchas veces.
[01:01:46 -> 01:01:47]  Esa es la idea.
[01:01:47 -> 01:01:49]  Pero inicialmente,
[01:01:50 -> 01:01:51]  ya estamos viejos,
[01:01:53 -> 01:01:55]  desde 22 años,
[01:01:55 -> 01:01:58]  en la zona de los Aces, después que se propuso el
[01:01:58 -> 01:02:04]  de HigieneBenash, y el HigieneBenash muestra que
[01:02:04 -> 01:02:11]  todo problema que tiene HigieneBenash,
[01:02:11 -> 01:02:14]  es encontrar el equilibrio.
[01:02:15 -> 01:02:22]  Si el problema es sencillo, es planar a los jugadores,
[01:02:22 -> 01:02:36]  como C o todo así, se pueden encontrar las estrategias tipo Minimax, que son el Cipri-Pin-Nar,
[01:02:36 -> 01:02:48]  pero desde el punto de vista computacional es caro encontrar Cipri-Pin-Nar, es bastante caro.
[01:02:52 -> 01:03:00]  Entonces, inodios tampoco se pueden encontrar como otros, como nosotros lo hicimos en el
[01:03:00 -> 01:03:03]  sim, en el peso olviendo un sistema de desigualdades.
[01:03:05 -> 01:03:12]  Como ven, la resolución de un sistema de desigualdades lineal.
[01:03:13 -> 01:03:20]  Entonces, bueno, aparece este método, en realidad es un método interactivo para encontrar un punto
[01:03:20 -> 01:03:22]  si se acuerdan de maquemal,
[01:03:22 -> 01:03:24]  este,
[01:03:24 -> 01:03:26]  para atacar algún valor,
[01:03:26 -> 01:03:28]  aplicar en la función ese valor,
[01:03:28 -> 01:03:30]  y apretar la función, la aplicación de ese valor,
[01:03:30 -> 01:03:32]  y apretar y apretar así,
[01:03:32 -> 01:03:34]  y eventualmente,
[01:03:34 -> 01:03:36]  determinada, este,
[01:03:36 -> 01:03:38]  eh, eh,
[01:03:38 -> 01:03:40]  eh,
[01:03:40 -> 01:03:42]  es lo que hace el descentro en realidad.
[01:03:42 -> 01:03:44]  Pero bueno, es un punto.
[01:03:44 -> 01:03:46]  Ah, la aplicación ya funciona,
[01:03:46 -> 01:03:48]  pero es un dado, es un dado,
[01:03:48 -> 01:03:53]  ¿Y el tema para el estado de la España moderno?
[01:03:53 -> 01:03:55]  No, bueno, el principio.
[01:03:55 -> 01:04:00]  No, estoy diciendo como principio de solución de un problema.
[01:04:00 -> 01:04:03]  ¿Cómo pondrás un punto quiso?
[01:04:05 -> 01:04:08]  Bien, entonces, pero...
[01:04:08 -> 01:04:11]  O sea, en realidad es bastante sencillo.
[01:04:11 -> 01:04:15]  O sea, hay más o menos que jugar, observar
[01:04:15 -> 01:04:22]  y tratar de ver qué distribución de probabilidad está jugando el adversario.
[01:04:25 -> 01:04:31]  Por los adversarios, en general, el internet también dio para dos, pero no lo podemos ver en el mensaje.
[01:04:31 -> 01:04:34]  O por lo menos el algoritmo lo podemos ver en eso.
[01:04:34 -> 01:04:48]  Lo que vamos a hacer es, bueno, arrancamos de un lugar y jugamos, por ejemplo, Machine
[01:04:48 -> 01:04:58]  Penis, un más sencillo. Entonces eligen cada uno en una acción, se observa, se calcula
[01:04:58 -> 01:05:05]  la recompensa y dice ah bueno, el adversario jugó tal cosa, yo jugué tal cosa.
[01:05:05 -> 01:05:09]  ¿Cuál es la distribución que está llevando el adversario?
[01:05:09 -> 01:05:16]  Y así, cada vez que se puede una nueva acción, costamos y arreglamos la distribución del programa.
[01:05:16 -> 01:05:20]  Ahora lo vamos a ver en detalle, pero para la descripción ya lo hacía en detalle.
[01:05:20 -> 01:05:31]  Pero, le podemos agregar que no se conoce cuál es la utilidad de la dosa.
[01:05:31 -> 01:05:37]  Solo se observa que acción fuma.
[01:05:39 -> 01:05:50]  Nos repensimos en que no ponemos como requerimiento conocer la utilidad de la dosa.
[01:05:50 -> 01:05:53]  O sea que cada jugador conoce solamente su materia de utilidad.
[01:05:53 -> 01:06:02]  Y la percepción que tiene el adversario, o sea de los otros agentes, es a través de las acciones que juegan.
[01:06:02 -> 01:06:05]  Esa es la única.
[01:06:05 -> 01:06:10]  O sea, va deslizando lo que juega el otro a medida que se juega el otro.
[01:06:10 -> 01:06:13]  Sí. Y no, ahí el juego ganan. Todos juegan.
[01:06:13 -> 01:06:15]  Todos juegan, se cuenta.
[01:06:15 -> 01:06:17]  Pero la sensación es que...
[01:06:17 -> 01:06:19]  Pero el juego no es el juego, ¿no?
[01:06:19 -> 01:06:23]  Sí, sí, las acciones, las acciones se observan.
[01:06:23 -> 01:06:27]  Lo que nos conoce cada gente es cuál es la utilidad de los otros.
[01:06:27 -> 01:06:29]  Pero es si fuera un orden.
[01:06:29 -> 01:06:31]  No, no, no, no.
[01:06:31 -> 01:06:33]  Es simultáneo.
[01:06:33 -> 01:06:35]  Pero, y se da, ya, hacemos una vez.
[01:06:35 -> 01:06:37]  Cada uno saca sus cuentas.
[01:06:37 -> 01:06:39]  Eligen acciones.
[01:06:39 -> 01:06:41]  Se pone al nuevo, cada uno saca sus cuentas.
[01:06:41 -> 01:06:43]  Eligen acciones, cada uno saca su cuenta.
[01:06:43 -> 01:06:52]  y bueno lo que esperamos es que después de todo eso se converga a un
[01:06:52 -> 01:07:00]  Inglaterra. Finalmente todos aprendan a qué la estrategia que hay que jugar es esta.
[01:07:00 -> 01:07:07]  Pero, mientras tanto están jugando cualquier cosa. De hecho mientras tanto nos vamos jugando
[01:07:07 -> 01:07:16]  estrategias no estacionarias porque juegan algo en ese instante
[01:07:16 -> 01:07:20]  en función de lo que observaron en el pasado
[01:07:21 -> 01:07:25]  pero se supone, la hipótesis es que
[01:07:25 -> 01:07:31]  cada gente supone que los demás están jugando una política estacionaria
[01:07:31 -> 01:07:36]  no lo están, pero se supone, porque lo que está buscando es cuál es la política estacionaria
[01:07:36 -> 01:07:43]  es la solución al problema. Pero mientras tanto no la hacen. Pero eso es lo mismo que pasa en el
[01:07:43 -> 01:07:48]  informe de learning. Cuando hace skill learning, se está buscando una solución estacional que
[01:07:48 -> 01:07:55]  al problema. Pero mientras tanto skill learning juega la estrategia de skill learning. Es Bilibili o la que sea.
[01:07:55 -> 01:08:05]  Esa no es estacional. Porque juega, amplia entre jugar random y jugar la de Q. Y Q puede variar
[01:08:05 -> 01:08:07]  ¿Qué es lo que no tiene?
[01:08:07 -> 01:08:09]  ¿Ah?
[01:08:09 -> 01:08:11]  ¿Pero sí?
[01:08:11 -> 01:08:20]  Lo que pasa es que no hay problema porque en realidad la solución final es la estrategia que maximiza el valor
[01:08:20 -> 01:08:23]  Es esa la que nos interesa, esa es la que se está asumiendo
[01:08:23 -> 01:08:28]  Pero mientras tanto, el agente de la Ofica que tuvo
[01:08:28 -> 01:08:38]  Si yo ejecuto una polis y que cambiaba a lo largo de todo, acá es lo mismo, pero es todo el que cambia.
[01:08:38 -> 01:08:42]  Pero todos piensan que lo demás está jugando lo que está siendo el.
[01:08:42 -> 01:08:54]  Y bueno, esta idea fue cuando se pensaba cómo adaptar lo que quiero sin mejorar el vídeo.
[01:08:54 -> 01:08:56]  ¿Tenéis alguna duda?
[01:08:56 -> 01:08:58]  Ahí está una mano y no está compartida.
[01:09:00 -> 01:09:03]  Creo que justo porque debe estar pausada la...
[01:09:03 -> 01:09:05]  la compartición.
[01:09:05 -> 01:09:07]  Entonces debería de ser.
[01:09:07 -> 01:09:08]  Pero...
[01:09:08 -> 01:09:10]  Ah, perdón, sí.
[01:09:10 -> 01:09:11]  Ok, ok.
[01:09:11 -> 01:09:12]  Ah, perdón, perdón.
[01:09:12 -> 01:09:14]  Yo creo que yo compartí.
[01:09:14 -> 01:09:15]  Ah, se ve que no.
[01:09:15 -> 01:09:16]  Perdón, disculpen.
[01:09:16 -> 01:09:19]  Igual es lo que...
[01:09:19 -> 01:09:20]  lo que...
[01:09:20 -> 01:09:25]  Dí que estuvo a hablar, la verdad no mostré nada.
[01:09:25 -> 01:09:29]  Resumiendo para que lo que está online esté ahora.
[01:09:29 -> 01:09:35]  Jugamos en rondas, no se conoce la utilidad de los campeonatos, cada gente lo conoce solo sus filiales.
[01:09:35 -> 01:09:48]  Supone que la política que están jugando la demás es trascendaria y está con propuesto como una técnica para computar soluciones aproximadas.
[01:09:48 -> 01:09:53]  Y diríamos a una próxima edad que hubiera eventualmente un resultado de comprensión.
[01:09:53 -> 01:09:59]  Entonces esto es este siglo de los agentes.
[01:09:59 -> 01:10:04]  Agentes eligen una acción, juegan, tienen recompensa.
[01:10:04 -> 01:10:13]  Agente 1 tiene la recompensa 1, agente 2 tiene la recompensa 2 y tienen la recompensa y.
[01:10:13 -> 01:10:17]  Agente 1 no ve la recompensa por fin nosotros.
